Parameters:
EtaF;20580
BetaF;1.5
EtaR;100
BetaR;1.2
Initial N;10000
Delta t;0.1
T (seconds);25200
Number of experiments;1000

Time;FailureMean;FailureMean+Sqrt(Var);
;29,53;34,86;
;29,54;34,93;
;29,50;34,94;
;29,60;35,05;
;29,64;35,10;
;29,64;34,99;
;29,62;34,92;
;29,52;35,01;
;29,43;34,88;
;29,49;35,08;
;29,53;35,04;
;29,59;35,12;
;29,57;35,17;
;29,59;35,22;
;29,62;35,21;
;29,65;35,18;
;29,75;35,17;
;29,83;35,19;
;30,02;35,42;
;30,07;35,42;
;30,06;35,61;
;30,06;35,63;
;30,02;35,63;
;29,99;35,65;
;29,98;35,69;
;30,10;35,81;
;30,09;35,84;
;30,18;35,91;
;30,12;35,81;
;30,11;35,74;
;30,16;35,75;
;30,09;35,57;
;30,08;35,51;
;30,08;35,49;
;30,13;35,49;
;30,19;35,49;
;30,17;35,51;
;30,12;35,46;
;30,24;35,70;
;30,25;35,82;
;30,29;35,72;
;30,36;35,78;
;30,50;35,93;
;30,55;35,99;
;30,54;36,01;
;30,70;36,19;
;30,88;36,44;
;30,97;36,54;
;31,04;36,65;
;30,99;36,67;
;30,91;36,58;
;30,86;36,42;
;30,91;36,50;
;30,93;36,52;
;30,88;36,42;
;30,83;36,39;
;30,84;36,43;
;30,95;36,53;
;30,99;36,62;
;30,99;36,72;
;30,97;36,68;
;30,99;36,73;
;31,02;36,60;
;31,04;36,63;
;30,97;36,51;
;30,97;36,48;
;30,97;36,46;
;30,95;36,43;
;31,09;36,58;
;30,97;36,48;
;30,97;36,41;
;31,14;36,59;
;31,17;36,67;
;31,21;36,68;
;31,34;36,84;
;31,41;37,00;
;31,35;36,91;
;31,39;37,01;
;31,44;37,01;
;31,38;37,10;
;31,47;37,22;
;31,46;37,13;
;31,38;37,03;
;31,51;37,17;
;31,56;37,25;
;31,65;37,45;
;31,77;37,53;
;31,91;37,66;
;31,95;37,58;
;31,90;37,35;
;31,86;37,40;
;31,94;37,48;
;32,12;37,72;
;32,17;37,76;
;32,17;37,81;
;32,14;37,68;
;32,09;37,56;
;32,15;37,73;
;32,09;37,64;
;32,16;37,80;
;32,13;37,60;
;32,16;37,66;
;32,33;37,71;
;32,37;37,75;
;32,23;37,68;
;32,37;37,87;
;32,16;37,63;
;32,23;37,77;
;32,25;37,88;
;32,34;38,05;
;32,22;37,93;
;32,27;38,00;
;32,27;37,86;
;32,25;37,91;
;32,23;38,03;
;32,38;38,34;
;32,45;38,38;
;32,46;38,27;
;32,48;38,24;
;32,44;38,25;
;32,47;38,22;
;32,42;38,12;
;32,43;38,08;
;32,61;38,16;
;32,58;38,08;
;32,70;38,25;
;32,69;38,21;
;32,66;38,32;
;32,79;38,47;
;32,72;38,28;
;32,78;38,32;
;32,78;38,40;
;32,81;38,52;
1,50;32,83;38,52;
;32,89;38,52;
;33,05;38,59;
;33,07;38,68;
;33,00;38,66;
;32,87;38,54;
;32,83;38,46;
;32,99;38,57;
;33,08;38,66;
;33,08;38,87;
;33,11;38,92;
;33,22;38,99;
;33,33;38,99;
;33,38;39,06;
;33,34;39,08;
;33,47;39,20;
;33,67;39,49;
;33,74;39,46;
;33,70;39,41;
