Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;3,04;4,77;9,99;13,15;;;
;3,02;4,76;9,99;13,15;;;
;3,02;4,72;9,99;13,15;;;
;3,04;4,74;9,99;13,15;;;
;3,03;4,74;9,99;13,15;;;
;3,05;4,77;9,99;13,15;;;
;3,1;4,83;9,99;13,15;;;
;3,07;4,8;9,99;13,15;;;
;3,08;4,81;9,99;13,15;;;
;3,1;4,85;9,99;13,15;;;
;3,12;4,89;9,99;13,15;;;
38,5;3,09;4,85;9,99;13,15;;;
;3,05;4,77;9,99;13,15;;;
;3,05;4,82;9,99;13,15;;;
;3,05;4,84;9,99;13,15;;;
;3,04;4,78;9,99;13,15;;;
;3,04;4,77;9,99;13,15;;;
;3,06;4,81;9,99;13,15;;;
;3,06;4,77;9,99;13,15;;;
;3,03;4,72;9,99;13,15;;;
;3,03;4,75;9,99;13,15;;;
;3,06;4,82;9,99;13,15;;;
;3,08;4,87;9,99;13,15;;;
;3,05;4,83;9,99;13,15;;;
;2,98;4,76;9,99;13,15;;;
;3;4,79;9,99;13,15;;;
;3,03;4,83;9,99;13,15;;;
;3,02;4,81;9,99;13,15;;;
;3,06;4,85;9,99;13,15;;;
39;3,07;4,88;9,99;13,15;;;
;3,07;4,88;9,99;13,15;;;
;3,09;4,9;9,99;13,15;;;
;3,08;4,88;9,99;13,15;;;
;3,1;4,9;9,99;13,15;;;
;3,09;4,84;9,99;13,15;;;
;3,08;4,8;9,99;13,15;;;
;3,07;4,81;9,99;13,15;;;
;3,03;4,75;9,99;13,15;;;
;3,01;4,74;9,99;13,15;;;
;3,02;4,75;9,99;13,15;;;
;3,01;4,75;9,99;13,15;;;
;3;4,79;9,99;13,15;;;
;3;4,74;9,99;13,15;;;
;3,01;4,75;9,99;13,15;;;
;2,99;4,74;9,99;13,15;;;
;2,99;4,71;9,99;13,15;;;
;3;4,76;9,99;13,15;;;
;2,97;4,72;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;2,97;4,71;9,99;13,15;;;
;2,97;4,71;9,99;13,15;;;
;3;4,69;9,99;13,15;;;
;3,03;4,75;9,99;13,15;;;
;3,01;4,74;9,99;13,15;;;
;3,01;4,73;9,99;13,15;;;
;3,02;4,74;9,99;13,15;;;
;3,01;4,75;9,99;13,15;;;
;2,97;4,67;9,99;13,15;;;
;2,96;4,69;9,99;13,15;;;
;2,97;4,72;9,99;13,15;;;
;3;4,74;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;2,96;4,68;9,99;13,15;;;
40;3;4,75;9,99;13,15;;;
;2,99;4,77;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
;2,97;4,74;9,99;13,15;;;
;2,94;4,67;9,99;13,15;;;
;2,95;4,67;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
;2,97;4,72;9,99;13,15;;;
;2,95;4,63;9,99;13,15;;;
;2,97;4,66;9,99;13,15;;;
;2,97;4,67;9,99;13,15;;;
;2,97;4,65;9,99;13,15;;;
;2,99;4,67;9,99;13,15;;;
;2,98;4,67;9,99;13,15;;;
;2,96;4,67;9,99;13,15;;;
;2,96;4,64;9,99;13,15;;;
;2,95;4,59;9,99;13,15;;;
40,5;2,95;4,62;9,99;13,15;;;
;2,95;4,62;9,99;13,15;;;
;2,97;4,7;9,99;13,15;;;
;2,96;4,68;9,99;13,15;;;
;2,94;4,66;9,99;13,15;;;
;2,96;4,71;9,99;13,15;;;
;2,98;4,73;9,99;13,15;;;
;3;4,73;9,99;13,15;;;
;3;4,69;9,99;13,15;;;
;3,02;4,71;9,99;13,15;;;
;3,04;4,74;9,99;13,15;;;
;3,07;4,76;9,99;13,15;;;
;3,06;4,75;9,99;13,15;;;
;3,05;4,75;9,99;13,15;;;
;3,04;4,74;9,99;13,15;;;
;3,05;4,79;9,99;13,15;;;
;3,01;4,76;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
41;3;4,78;9,99;13,15;;;
;3;4,74;9,99;13,15;;;
;3,02;4,8;9,99;13,15;;;
;3,01;4,78;9,99;13,15;;;
;3;4,75;9,99;13,15;;;
;3,01;4,74;9,99;13,15;;;
;3,02;4,75;9,99;13,15;;;
;3,04;4,77;9,99;13,15;;;
;3,03;4,76;9,99;13,15;;;
;3,02;4,74;9,99;13,15;;;
;3,03;4,79;9,99;13,15;;;
;3,04;4,78;9,99;13,15;;;
;3,05;4,8;9,99;13,15;;;
;3,05;4,79;9,99;13,15;;;
;3,1;4,85;9,99;13,15;;;
;3,1;4,84;9,99;13,15;;;
;3,1;4,85;9,99;13,15;;;
;3,05;4,79;9,99;13,15;;;
41,5;3,07;4,85;9,99;13,15;;;
;3,07;4,8;9,99;13,15;;;
;3,05;4,76;9,99;13,15;;;
;3,05;4,82;9,99;13,15;;;
;3,06;4,82;9,99;13,15;;;
;3,01;4,78;9,99;13,15;;;
