Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;Parameters:;
;4;6,04;9,99;13,15;;;
;3,98;6,03;9,99;13,15;;;
;3,99;6,03;9,99;13,15;;;
;4,03;6,07;9,99;13,15;;;
;4;6,08;9,99;13,15;;;
;4,03;6,12;9,99;13,15;;;
;4,06;6,17;9,99;13,15;;;
;4,05;6,13;9,99;13,15;;;
;4,06;6,14;9,99;13,15;;;
;4,1;6,18;9,99;13,15;;;
11;4,09;6,17;9,99;13,15;;;
;4,05;6,1;9,99;13,15;;;
;4,03;6,07;9,99;13,15;;;
;4,07;6,16;9,99;13,15;;;
;4,04;6,12;9,99;13,15;;;
;3,99;6,06;9,99;13,15;;;
;3,99;6,05;9,99;13,15;;;
;4,01;6,03;9,99;13,15;;;
;4,02;5,98;9,99;13,15;;;
;4,03;6,01;9,99;13,15;;;
;4,05;6,06;9,99;13,15;;;
;4,04;6,07;9,99;13,15;;;
;4,01;5,98;9,99;13,15;;;
;3,96;5,95;9,99;13,15;;;
;3,94;5,92;9,99;13,15;;;
;3,94;5,92;9,99;13,15;;;
;3,92;5,92;9,99;13,15;;;
;3,91;5,92;9,99;13,15;;;
11,5;3,9;5,92;9,99;13,15;;;
;3,87;5,91;9,99;13,15;;;
;3,88;5,89;9,99;13,15;;;
;3,9;5,96;9,99;13,15;;;
;3,88;5,92;9,99;13,15;;;
;3,9;5,98;9,99;13,15;;;
;3,91;5,98;9,99;13,15;;;
;3,9;5,96;9,99;13,15;;;
;3,91;5,95;9,99;13,15;;;
;3,88;5,89;9,99;13,15;;;
;3,91;5,91;9,99;13,15;;;
;3,91;5,88;9,99;13,15;;;
;3,91;5,92;9,99;13,15;;;
;3,9;5,88;9,99;13,15;;;
;3,91;5,94;9,99;13,15;;;
;3,93;5,95;9,99;13,15;;;
;3,95;5,98;9,99;13,15;;;
;3,94;5,93;9,99;13,15;;;
12;3,93;5,88;9,99;13,15;;;
;3,98;5,96;9,99;13,15;;;
;3,97;5,95;9,99;13,15;;;
;3,97;5,93;9,99;13,15;;;
;3,96;5,9;9,99;13,15;;;
;3,93;5,88;9,99;13,15;;;
;3,92;5,89;9,99;13,15;;;
;3,96;5,9;9,99;13,15;;;
;3,91;5,9;9,99;13,15;;;
;3,9;5,87;9,99;13,15;;;
;3,91;5,91;9,99;13,15;;;
;3,9;5,89;9,99;13,15;;;
;3,9;5,91;9,99;13,15;;;
;3,92;5,9;9,99;13,15;;;
;3,93;5,9;9,99;13,15;;;
;3,9;5,9;9,99;13,15;;;
;3,92;5,93;9,99;13,15;;;
;3,97;5,99;9,99;13,15;;;
12,5;3,97;6;9,99;13,15;;;
