Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);;;Parameters:;
;4036,98;4080,25;4408,14;4457,79;;;;
;4038,97;4082,22;4408,23;4457,89;;;;
;4040,74;4084,13;4408,32;4457,98;;;;
;4042,69;4086,09;4408,41;4458,07;;;;
;4044,7;4088,21;4408,5;4458,16;;;;
;4046,83;4090,36;4408,59;4458,24;;;;
;4048,5;4092,32;4408,67;4458,33;;;;
;4050,42;4094,21;4408,76;4458,41;;;;
;4052,36;4096,36;4408,84;4458,5;;;;
;4054,17;4098,15;4408,92;4458,58;;;;
;4056,07;4100,02;4409;4458,66;;;;
;4057,68;4102,05;4409,08;4458,73;;;;
;4059,45;4103,86;4409,16;4458,81;;;;
;4061,13;4105,64;4409,23;4458,89;;;;
;4063,11;4107,79;4409,31;4458,96;;;;
;4064,77;4109,51;4409,38;4459,03;;;;
;4066,57;4111,09;4409,45;4459,11;;;;
;4068,37;4113,07;4409,52;4459,18;;;;
;4070,27;4115,2;4409,59;4459,24;;;;
;4071,84;4116,81;4409,66;4459,31;;;;
;4073,68;4118,84;4409,72;4459,38;;;;
;4075,43;4120,62;4409,79;4459,44;;;;
;4077,16;4122,31;4409,85;4459,51;;;;
;4078,76;4124,1;4409,92;4459,57;;;;
;4080,51;4125,93;4409,98;4459,63;;;;
;4082,04;4127,54;4410,04;4459,69;;;;
;4083,67;4129,2;4410,1;4459,75;;;;
;4085,17;4130,58;4410,16;4459,81;;;;
;4086,77;4132,16;4410,22;4459,87;;;;
;4088,3;4133,8;4410,27;4459,93;;;;
;4090,06;4135,75;4410,33;4459,98;;;;
;4091,68;4137,6;4410,38;4460,04;;;;
;4093,36;4139,19;4410,44;4460,09;;;;
;4094,8;4140,57;4410,49;4460,14;;;;
;4096,53;4142,58;4410,54;4460,2;;;;
;4098,13;4144,19;4410,59;4460,25;;;;
;4099,76;4145,88;4410,64;4460,3;;;;
;4101,19;4147,36;4410,69;4460,35;;;;
;4102,69;4148,93;4410,74;4460,39;;;;
;4104,22;4150,6;4410,79;4460,44;;;;
;4105,72;4152,28;4410,83;4460,49;;;;
;4107,3;4153,71;4410,88;4460,53;;;;
;4109,09;4155,52;4410,92;4460,58;;;;
;4110,62;4156,91;4410,97;4460,62;;;;
;4112,22;4158,62;4411,01;4460,67;;;;
;4113,67;4160,09;4411,05;4460,71;;;;
;4115,06;4161,53;4411,09;4460,75;;;;
;4116,45;4163,06;4411,14;4460,79;;;;
;4118,05;4164,73;4411,18;4460,83;;;;
;4119,39;4166,02;4411,22;4460,87;;;;
;4120,86;4167,66;4411,25;4460,91;;;;
;4122,31;4169,21;4411,29;4460,95;;;;
;4123,69;4170,68;4411,33;4460,98;;;;
;4124,96;4171,99;4411,37;4461,02;;;;
;4126,34;4173,21;4411,4;4461,06;;;;
;4127,54;4174,51;4411,44;4461,09;;;;
