Parameters:
Lambda;0.001
Initial N;10000
Delta t;0.001
T (time steps);25
Number of experiments;10000
Nu;1

Time;FailureMean;FailureMean+Sqrt(Var);AnalyticalMean;AnalyticalMean+sqrt(Var);
;9,95;13,06;9,99;13,15;
;9,98;13,11;9,99;13,15;
;9,95;13,08;9,99;13,15;
;9,97;13,11;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,94;13,10;9,99;13,15;
;9,95;13,10;9,99;13,15;
;9,97;13,12;9,99;13,15;
;9,96;13,12;9,99;13,15;
;9,96;13,13;9,99;13,15;
;10,01;13,20;9,99;13,15;
;10,02;13,22;9,99;13,15;
;10,04;13,22;9,99;13,15;
6,50;10,02;13,20;9,99;13,15;
;10,06;13,22;9,99;13,15;
;10,05;13,19;9,99;13,15;
;10,05;13,19;9,99;13,15;
;10,06;13,24;9,99;13,15;
;10,04;13,19;9,99;13,15;
;10,05;13,17;9,99;13,15;
;10,03;13,20;9,99;13,15;
;10,02;13,18;9,99;13,15;
;10,01;13,17;9,99;13,15;
;10,02;13,15;9,99;13,15;
;10,04;13,20;9,99;13,15;
;10,04;13,21;9,99;13,15;
;10,07;13,23;9,99;13,15;
;10,09;13,25;9,99;13,15;
;10,06;13,23;9,99;13,15;
